generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time,single_best_score,single_best_coverage
268,53.4,0.5640000000000001,35.77133333333333,0.3877133333333333,41.8,0.0,53.4,57.6,0.606,49.675999999999995,0.08000000000000002,9.23,2106.93,63,0.66
269,55.2,0.5820000000000001,35.208666666666666,0.3820866666666667,41.4,0.0,55.2,57.6,0.606,50.05200000000001,0.08000000000000002,9.02,2115.98,63,0.66
270,54.2,0.572,35.92133333333333,0.38921333333333336,42.9,0.0,54.2,57.6,0.606,50.72800000000001,0.08000000000000002,8.98,2124.98,63,0.66
271,54.2,0.572,35.90800000000001,0.38908,42.6,0.0,54.2,57.6,0.606,49.916000000000004,0.08000000000000002,9.14,2134.15,64,0.67
272,54.4,0.574,37.163333333333334,0.40163333333333334,42.4,0.0,54.4,57.6,0.606,50.424,0.08000000000000002,9.25,2143.43,61,0.64
273,54.4,0.5740000000000001,37.32466666666667,0.40324666666666675,42.2,0.0,54.4,57.6,0.606,49.93600000000001,0.08000000000000002,9.15,2152.62,61,0.64
274,54.2,0.5720000000000001,36.28933333333333,0.3928933333333333,42.4,0.0,54.2,57.6,0.606,50.544,0.08000000000000002,9.10,2161.76,63,0.66
275,56.2,0.592,35.74,0.3874,42.8,0.0,56.2,57.6,0.606,51.071999999999996,0.08000000000000002,9.31,2171.11,61,0.64
276,54.2,0.572,37.244,0.40244,42.4,0.0,54.2,57.6,0.606,50.93199999999999,0.08000000000000002,9.48,2180.63,61,0.64
277,55.0,0.58,39.95666666666666,0.4295666666666667,44.5,0.0,55.0,57.6,0.606,51.132000000000005,0.08000000000000002,9.96,2190.62,62,0.65
278,55.2,0.582,37.04133333333334,0.40041333333333334,42.6,0.0,55.2,57.6,0.606,50.632000000000005,0.08000000000000002,9.42,2200.07,60,0.63
279,53.4,0.564,36.483333333333334,0.39483333333333337,42.8,0.2,53.4,57.6,0.606,50.48400000000001,0.08000000000000002,9.30,2209.41,63,0.66
280,53.6,0.5660000000000001,38.221333333333334,0.4122133333333333,42.6,0.0,53.6,57.6,0.606,50.528,0.08000000000000002,9.43,2218.88,62,0.65
281,54.8,0.578,38.05933333333333,0.41059333333333337,42.6,0.0,54.8,57.6,0.606,49.772000000000006,0.08000000000000002,9.48,2228.40,60,0.63
282,55.2,0.5820000000000001,37.94200000000001,0.40942000000000006,42.2,0.2,55.2,57.6,0.606,50.38,0.08000000000000002,9.57,2238.01,64,0.67
283,54.0,0.57,36.586666666666666,0.3958666666666667,42.3,0.0,54.0,57.6,0.606,50.15200000000001,0.08000000000000002,9.37,2247.42,65,0.68
284,55.2,0.5820000000000001,37.43533333333333,0.4043533333333334,43.0,0.0,55.2,57.6,0.606,50.84799999999999,0.08000000000000002,9.61,2257.07,65,0.68
285,54.4,0.5740000000000001,37.23066666666667,0.40230666666666665,42.5,0.0,54.4,57.6,0.606,50.98,0.08000000000000002,9.64,2266.74,62,0.65
286,57.0,0.6,39.408,0.42408000000000007,44.4,0.2,57.0,57.6,0.606,51.06399999999999,0.08000000000000002,10.18,2276.94,64,0.67
287,56.8,0.598,36.45466666666667,0.3945466666666667,41.6,0.2,56.8,57.6,0.606,51.27199999999999,0.08000000000000002,9.74,2286.72,62,0.65
288,55.2,0.5820000000000001,36.936,0.39936000000000005,42.8,0.0,55.2,57.6,0.606,51.644,0.08000000000000002,9.64,2296.40,63,0.66
289,57.0,0.5999999999999999,38.602666666666664,0.41602666666666666,44.4,0.2,57.0,57.6,0.606,52.07199999999999,0.08000000000000002,10.01,2306.45,63,0.66
290,56.2,0.592,39.68266666666666,0.4268266666666667,44.4,0.0,56.2,57.6,0.606,52.111999999999995,0.08000000000000002,10.59,2317.07,65,0.68
291,55.8,0.588,37.83733333333333,0.40837333333333337,42.2,0.0,55.8,57.6,0.606,52.483999999999995,0.08000000000000002,9.81,2326.92,63,0.66
