event,step,episodes,episode_steps,episode_score,death_reason,episode_length,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_avg_length,eval_max_length,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,11495,344,50,0,timeout,2,,,4,11495,,,,,,,,,,
episode,11545,345,50,0,timeout,2,,,4,11545,,,,,,,,,,
episode,11595,346,50,0,timeout,2,,,4,11595,,,,,,,,,,
episode,11645,347,50,0,timeout,2,,,4,11645,,,,,,,,,,
episode,11695,348,50,0,timeout,2,,,4,11695,,,,,,,,,,
episode,11778,349,83,1,timeout,3,,,4,11778,,,,,,,,,,
episode,11788,350,10,0,wall,2,,,4,11788,,,,,,,,,,
episode,11838,351,50,0,timeout,2,,,4,11838,,,,,,,,,,
episode,11918,352,80,1,wall,3,,,4,11918,,,,,,,,,,
episode,11977,353,59,3,self,5,,,4,11977,,,,,,,,,,
train,12000,353,,,,,0.32,0.2992584331333637,4,12000,,,,,,,,,,
episode,12027,354,50,0,timeout,2,,,4,12027,,,,,,,,,,
episode,12134,355,107,3,self,5,,,4,12134,,,,,,,,,,
episode,12219,356,85,1,timeout,3,,,4,12219,,,,,,,,,,
episode,12309,357,90,1,timeout,3,,,4,12309,,,,,,,,,,
episode,12359,358,50,0,timeout,2,,,4,12359,,,,,,,,,,
episode,12449,359,90,1,timeout,3,,,4,12449,,,,,,,,,,
episode,12499,360,50,0,timeout,2,,,4,12499,,,,,,,,,,
episode,12549,361,50,0,timeout,2,,,4,12549,,,,,,,,,,
episode,12639,362,90,3,self,5,,,4,12639,,,,,,,,,,
episode,12689,363,50,0,timeout,2,,,4,12689,,,,,,,,,,
episode,12739,364,50,0,timeout,2,,,4,12739,,,,,,,,,,
episode,12789,365,50,0,timeout,2,,,4,12789,,,,,,,,,,
episode,12863,366,74,2,wall,4,,,4,12863,,,,,,,,,,
episode,12913,367,50,0,timeout,2,,,4,12913,,,,,,,,,,
episode,12952,368,39,0,wall,2,,,4,12952,,,,,,,,,,
episode,13002,369,50,0,timeout,2,,,4,13002,,,,,,,,,,
episode,13099,370,97,1,timeout,3,,,4,13099,,,,,,,,,,
episode,13149,371,50,0,timeout,2,,,4,13149,,,,,,,,,,
episode,13264,372,115,1,timeout,3,,,4,13264,,,,,,,,,,
episode,13314,373,50,0,timeout,2,,,4,13314,,,,,,,,,,
episode,13364,374,50,0,timeout,2,,,4,13364,,,,,,,,,,
episode,13414,375,50,0,timeout,2,,,4,13414,,,,,,,,,,
episode,13415,376,1,0,wall,2,,,4,13415,,,,,,,,,,
episode,13465,377,50,0,timeout,2,,,4,13465,,,,,,,,,,
episode,13466,378,1,0,wall,2,,,4,13466,,,,,,,,,,
episode,13516,379,50,0,timeout,2,,,4,13516,,,,,,,,,,
episode,13525,380,9,0,wall,2,,,4,13525,,,,,,,,,,
episode,13575,381,50,0,timeout,2,,,4,13575,,,,,,,,,,
episode,13625,382,50,0,timeout,2,,,4,13625,,,,,,,,,,
episode,13675,383,50,0,timeout,2,,,4,13675,,,,,,,,,,
